symbol,output_size,window_size,data_mode,n_estimators,criterion,min_samples_leaf,max_depth,max_string_lenght:,val_score,test_score,balance_score
AAPL,3,3,0,5,gini,5,1,0,0.5454545454545454,0.5166666666666667,0.5961538461538461
AAPL,3,3,0,5,gini,5,2,0,0.5,0.6166666666666667,0.6730769230769231
AAPL,3,3,0,5,gini,5,3,0,0.5227272727272727,0.55,0.6153846153846154
AAPL,3,3,0,5,gini,5,4,0,0.5681818181818182,0.5333333333333333,0.4807692307692308
AAPL,3,3,0,5,gini,5,5,0,0.5,0.6333333333333333,0.6923076923076923
AAPL,3,3,0,5,gini,5,6,0,0.4772727272727273,0.6333333333333333,0.7115384615384616
AAPL,3,3,0,5,gini,5,7,0,0.6136363636363636,0.5166666666666667,0.5961538461538461
AAPL,3,3,0,5,gini,5,8,0,0.4772727272727273,0.6166666666666667,0.6730769230769231
AAPL,3,3,0,5,gini,5,9,0,0.5681818181818182,0.6166666666666667,0.6730769230769231
AAPL,3,3,0,5,gini,5,10,0,0.5,0.6,0.6538461538461539
AAPL,3,3,0,5,entropy,5,1,0,0.5681818181818182,0.48333333333333334,0.5576923076923077
AAPL,3,3,0,5,entropy,5,2,0,0.5681818181818182,0.48333333333333334,0.5576923076923077
AAPL,3,3,0,5,entropy,5,3,0,0.5,0.5833333333333334,0.6346153846153846
AAPL,3,3,0,5,entropy,5,4,0,0.5681818181818182,0.6166666666666667,0.6730769230769231
AAPL,3,3,0,5,entropy,5,5,0,0.5681818181818182,0.6,0.6346153846153846
AAPL,3,3,0,5,entropy,5,6,0,0.5227272727272727,0.55,0.6153846153846154
AAPL,3,3,0,5,entropy,5,7,0,0.5,0.5833333333333334,0.6346153846153846
AAPL,3,3,0,5,entropy,5,8,0,0.5909090909090909,0.65,0.7115384615384616
AAPL,3,3,0,5,entropy,5,9,0,0.5,0.5666666666666667,0.6153846153846154
AAPL,3,3,0,5,entropy,5,10,0,0.5681818181818182,0.6,0.6730769230769231
AAPL,3,3,0,10,gini,5,1,0,0.5454545454545454,0.5166666666666667,0.5961538461538461
AAPL,3,3,0,10,gini,5,2,0,0.5454545454545454,0.5,0.5769230769230769
AAPL,3,3,0,10,gini,5,3,0,0.4772727272727273,0.5333333333333333,0.5769230769230769
AAPL,3,3,0,10,gini,5,4,0,0.5227272727272727,0.6166666666666667,0.6923076923076923
AAPL,3,3,0,10,gini,5,5,0,0.45454545454545453,0.55,0.5961538461538461
AAPL,3,3,0,10,gini,5,6,0,0.5454545454545454,0.5833333333333334,0.6346153846153846
AAPL,3,3,0,10,gini,5,7,0,0.5681818181818182,0.6166666666666667,0.6730769230769231
AAPL,3,3,0,10,gini,5,8,0,0.5227272727272727,0.5666666666666667,0.6153846153846154
AAPL,3,3,0,10,gini,5,9,0,0.5454545454545454,0.6333333333333333,0.6730769230769231
AAPL,3,3,0,10,gini,5,10,0,0.5,0.6,0.6730769230769231
AAPL,3,3,0,10,entropy,5,1,0,0.5681818181818182,0.45,0.5192307692307693
AAPL,3,3,0,10,entropy,5,2,0,0.5681818181818182,0.5,0.5769230769230769
AAPL,3,3,0,10,entropy,5,3,0,0.5227272727272727,0.5833333333333334,0.6346153846153846
AAPL,3,3,0,10,entropy,5,4,0,0.5,0.6666666666666666,0.7307692307692307
AAPL,3,3,0,10,entropy,5,5,0,0.45454545454545453,0.5666666666666667,0.6153846153846154
AAPL,3,3,0,10,entropy,5,6,0,0.4772727272727273,0.6333333333333333,0.6923076923076923
AAPL,3,3,0,10,entropy,5,7,0,0.5454545454545454,0.6,0.6538461538461539
AAPL,3,3,0,10,entropy,5,8,0,0.5,0.6,0.6730769230769231
AAPL,3,3,0,10,entropy,5,9,0,0.5227272727272727,0.5833333333333334,0.6538461538461539
AAPL,3,3,0,10,entropy,5,10,0,0.5681818181818182,0.55,0.5769230769230769
AAPL,3,3,0,100,gini,5,1,0,0.5681818181818182,0.5333333333333333,0.6153846153846154
AAPL,3,3,0,100,gini,5,2,0,0.5681818181818182,0.5333333333333333,0.6153846153846154
AAPL,3,3,0,100,gini,5,3,0,0.5,0.5833333333333334,0.6346153846153846
AAPL,3,3,0,100,gini,5,4,0,0.5227272727272727,0.5833333333333334,0.6346153846153846
AAPL,3,3,0,100,gini,5,5,0,0.5227272727272727,0.6,0.6538461538461539
AAPL,3,3,0,100,gini,5,6,0,0.5454545454545454,0.55,0.5961538461538461
AAPL,3,3,0,100,gini,5,7,0,0.5454545454545454,0.5833333333333334,0.6346153846153846
AAPL,3,3,0,100,gini,5,8,0,0.5227272727272727,0.5833333333333334,0.6346153846153846
AAPL,3,3,0,100,gini,5,9,0,0.5227272727272727,0.5833333333333334,0.6346153846153846
AAPL,3,3,0,100,gini,5,10,0,0.5227272727272727,0.5833333333333334,0.6346153846153846
AAPL,3,3,0,100,entropy,5,1,0,0.5681818181818182,0.5333333333333333,0.6153846153846154
AAPL,3,3,0,100,entropy,5,2,0,0.5681818181818182,0.5333333333333333,0.6153846153846154
AAPL,3,3,0,100,entropy,5,3,0,0.5227272727272727,0.6,0.6730769230769231
AAPL,3,3,0,100,entropy,5,4,0,0.5227272727272727,0.5833333333333334,0.6346153846153846
AAPL,3,3,0,100,entropy,5,5,0,0.5,0.6,0.6538461538461539
AAPL,3,3,0,100,entropy,5,6,0,0.5227272727272727,0.6,0.6730769230769231
AAPL,3,3,0,100,entropy,5,7,0,0.5454545454545454,0.6166666666666667,0.6730769230769231
