symbol,output_size,window_size,data_mode,C,gamma,max_string_lenght,val_score,test_score,balance_score
AAPL,3,14,2,100000.0,scale,500,0.5227272727272727,0.5833333333333334,0.6730769230769231
AAPL,3,14,2,10000.0,scale,500,0.5227272727272727,0.5833333333333334,0.6730769230769231
GOOGL,7,3,1,1000.0,scale,500,0.5227272727272727,0.625,0.68
AMZN,3,14,2,1000.0,scale,10000,0.5454545454545454,0.5166666666666667,0.5740740740740741
AMZN,3,14,2,10000.0,scale,10000,0.5454545454545454,0.5166666666666667,0.5740740740740741
AMZN,3,14,2,100000.0,scale,10000,0.5454545454545454,0.5166666666666667,0.5740740740740741
AMZN,3,14,1,100000.0,scale,500,0.5454545454545454,0.5333333333333333,0.5925925925925926
AMZN,3,14,1,1000.0,scale,500,0.5454545454545454,0.5333333333333333,0.5925925925925926
AMZN,7,14,0,100000.0,scale,500,0.5454545454545454,0.5892857142857143,0.6111111111111112
AMZN,7,7,0,100000.0,scale,500,0.5454545454545454,0.5892857142857143,0.6111111111111112
AMZN,7,3,0,100000.0,scale,500,0.5454545454545454,0.5892857142857143,0.6111111111111112
AAPL,3,14,2,100000.0,scale,20000,0.5454545454545454,0.6,0.7115384615384616
AAPL,3,14,2,10000.0,scale,20000,0.5454545454545454,0.6,0.7115384615384616
AAPL,3,14,2,1000.0,scale,20000,0.5454545454545454,0.6,0.7115384615384616
AAPL,3,14,2,100000.0,scale,10000,0.5454545454545454,0.6,0.7115384615384616
AAPL,3,14,2,10000.0,scale,10000,0.5454545454545454,0.6,0.7115384615384616
AAPL,3,14,2,1000.0,scale,10000,0.5454545454545454,0.6,0.7115384615384616
AMZN,3,14,1,10000.0,scale,500,0.5454545454545454,0.5333333333333333,0.5925925925925926
AMZN,3,14,2,1000.0,scale,20000,0.5454545454545454,0.5166666666666667,0.5740740740740741
AAPL,3,3,0,1000.0,scale,500,0.5454545454545454,0.5,0.5
AMZN,3,14,2,100000.0,scale,20000,0.5454545454545454,0.5166666666666667,0.5740740740740741
TSLA,14,14,2,1000.0,scale,20000,0.5454545454545454,0.4897959183673469,0.5789473684210527
TSLA,14,14,2,100000.0,scale,10000,0.5454545454545454,0.4897959183673469,0.5789473684210527
TSLA,14,14,2,10000.0,scale,10000,0.5454545454545454,0.4897959183673469,0.5789473684210527
TSLA,14,14,2,1000.0,scale,10000,0.5454545454545454,0.4897959183673469,0.5789473684210527
TSLA,14,14,1,100000.0,scale,500,0.5454545454545454,0.5306122448979592,0.631578947368421
TSLA,14,14,1,10000.0,scale,500,0.5454545454545454,0.5306122448979592,0.631578947368421
TSLA,14,14,1,1000.0,scale,500,0.5454545454545454,0.5306122448979592,0.631578947368421
TSLA,3,7,1,100000.0,scale,500,0.5454545454545454,0.5166666666666667,0.5344827586206896
TSLA,3,7,1,10000.0,scale,500,0.5454545454545454,0.5166666666666667,0.5344827586206896
TSLA,3,7,1,1000.0,scale,500,0.5454545454545454,0.5166666666666667,0.5344827586206896
TSLA,14,14,0,1000.0,scale,500,0.5454545454545454,0.3673469387755102,0.4473684210526316
TSLA,14,7,0,1000.0,scale,500,0.5454545454545454,0.3673469387755102,0.4473684210526316
TSLA,14,3,0,1000.0,scale,500,0.5454545454545454,0.3673469387755102,0.4473684210526316
AMZN,3,14,2,10000.0,scale,20000,0.5454545454545454,0.5166666666666667,0.5740740740740741
MSFT,3,3,2,100000.0,scale,1000,0.5454545454545454,0.5666666666666667,0.62
MSFT,3,3,2,1000.0,scale,1000,0.5454545454545454,0.5666666666666667,0.62
MSFT,14,14,0,100000.0,scale,500,0.5454545454545454,0.7142857142857143,0.84375
MSFT,14,14,0,10000.0,scale,500,0.5454545454545454,0.7142857142857143,0.84375
MSFT,14,7,0,100000.0,scale,500,0.5454545454545454,0.7142857142857143,0.84375
MSFT,14,7,0,10000.0,scale,500,0.5454545454545454,0.7142857142857143,0.84375
MSFT,14,3,0,100000.0,scale,500,0.5454545454545454,0.7142857142857143,0.84375
MSFT,14,3,0,10000.0,scale,500,0.5454545454545454,0.7142857142857143,0.84375
GOOGL,14,7,1,100000.0,scale,500,0.5454545454545454,0.6530612244897959,0.5
GOOGL,14,7,1,10000.0,scale,500,0.5454545454545454,0.6530612244897959,0.5
GOOGL,14,7,1,1000.0,scale,500,0.5454545454545454,0.6530612244897959,0.5
GOOGL,7,14,0,10000.0,scale,500,0.5454545454545454,0.48214285714285715,0.54
GOOGL,7,7,0,10000.0,scale,500,0.5454545454545454,0.48214285714285715,0.54
GOOGL,7,3,0,10000.0,scale,500,0.5454545454545454,0.48214285714285715,0.54
MSFT,3,3,2,10000.0,scale,1000,0.5454545454545454,0.5666666666666667,0.62
TSLA,14,14,2,10000.0,scale,20000,0.5454545454545454,0.4897959183673469,0.5789473684210527
TSLA,14,14,2,100000.0,scale,20000,0.5454545454545454,0.4897959183673469,0.5789473684210527
AAPL,3,14,0,1000.0,scale,500,0.5454545454545454,0.5,0.5
AAPL,7,14,0,100000.0,scale,500,0.5454545454545454,0.44642857142857145,0.6944444444444444
AAPL,7,3,0,100000.0,scale,500,0.5454545454545454,0.44642857142857145,0.6944444444444444
AAPL,14,3,0,1000.0,scale,500,0.5454545454545454,0.22448979591836735,0.32142857142857145
AAPL,14,3,0,100000.0,scale,500,0.5454545454545454,0.22448979591836735,0.2857142857142857
AAPL,3,7,0,1000.0,scale,500,0.5454545454545454,0.5,0.5
AAPL,14,14,0,1000.0,scale,500,0.5454545454545454,0.22448979591836735,0.32142857142857145
AAPL,14,7,0,1000.0,scale,500,0.5454545454545454,0.22448979591836735,0.32142857142857145
AAPL,14,7,0,100000.0,scale,500,0.5454545454545454,0.22448979591836735,0.2857142857142857
AAPL,7,7,0,100000.0,scale,500,0.5454545454545454,0.44642857142857145,0.6944444444444444
AAPL,14,14,0,100000.0,scale,500,0.5454545454545454,0.22448979591836735,0.2857142857142857
AMZN,3,3,0,1000.0,scale,500,0.5681818181818182,0.55,0.5
GOOGL,7,14,0,100000.0,scale,500,0.5681818181818182,0.48214285714285715,0.54
TSLA,14,3,0,10000.0,scale,500,0.5681818181818182,0.3673469387755102,0.4473684210526316
MSFT,3,3,2,1000.0,scale,500,0.5681818181818182,0.5666666666666667,0.6
MSFT,3,3,2,10000.0,scale,500,0.5681818181818182,0.5666666666666667,0.6
MSFT,3,3,2,100000.0,scale,500,0.5681818181818182,0.5666666666666667,0.6
AMZN,3,7,0,1000.0,scale,500,0.5681818181818182,0.55,0.5
MSFT,3,3,2,1000.0,scale,10000,0.5681818181818182,0.6,0.58
MSFT,3,3,2,10000.0,scale,10000,0.5681818181818182,0.6,0.58
AMZN,3,7,1,100000.0,scale,500,0.5681818181818182,0.5166666666666667,0.48148148148148145
AMZN,3,7,1,1000.0,scale,500,0.5681818181818182,0.5166666666666667,0.48148148148148145
GOOGL,7,14,0,1000.0,scale,500,0.5681818181818182,0.4642857142857143,0.52
MSFT,3,3,2,1000.0,scale,20000,0.5681818181818182,0.6,0.58
MSFT,3,3,2,10000.0,scale,20000,0.5681818181818182,0.6,0.58
MSFT,3,3,2,100000.0,scale,20000,0.5681818181818182,0.6,0.58
MSFT,3,3,1,100000.0,scale,500,0.5681818181818182,0.6166666666666667,0.6
MSFT,3,3,1,10000.0,scale,500,0.5681818181818182,0.6166666666666667,0.6
AMZN,3,14,0,1000.0,scale,500,0.5681818181818182,0.55,0.5
MSFT,3,3,1,1000.0,scale,500,0.5681818181818182,0.6166666666666667,0.6
AMZN,3,7,1,10000.0,scale,500,0.5681818181818182,0.5166666666666667,0.48148148148148145
MSFT,3,3,2,100000.0,scale,10000,0.5681818181818182,0.6,0.58
GOOGL,7,7,0,1000.0,scale,500,0.5681818181818182,0.4642857142857143,0.52
GOOGL,7,7,0,100000.0,scale,500,0.5681818181818182,0.48214285714285715,0.54
AAPL,7,14,0,1000.0,scale,500,0.5681818181818182,0.44642857142857145,0.6944444444444444
TSLA,14,7,0,10000.0,scale,500,0.5681818181818182,0.3673469387755102,0.4473684210526316
TSLA,14,14,2,10000.0,scale,500,0.5681818181818182,0.5102040816326531,0.6052631578947368
TSLA,14,14,0,10000.0,scale,500,0.5681818181818182,0.3673469387755102,0.4473684210526316
GOOGL,7,3,0,1000.0,scale,500,0.5681818181818182,0.4642857142857143,0.52
TSLA,14,14,2,100000.0,scale,500,0.5681818181818182,0.5102040816326531,0.6052631578947368
TSLA,14,14,2,1000.0,scale,500,0.5681818181818182,0.5102040816326531,0.6052631578947368
TSLA,14,14,2,1000.0,scale,1000,0.5681818181818182,0.5102040816326531,0.6052631578947368
MSFT,3,14,2,1000.0,scale,1000,0.5681818181818182,0.5666666666666667,0.46
MSFT,3,14,2,10000.0,scale,1000,0.5681818181818182,0.5666666666666667,0.46
MSFT,3,14,2,100000.0,scale,1000,0.5681818181818182,0.5666666666666667,0.46
TSLA,14,14,2,10000.0,scale,1000,0.5681818181818182,0.5102040816326531,0.6052631578947368
TSLA,14,14,2,100000.0,scale,1000,0.5681818181818182,0.5102040816326531,0.6052631578947368
AAPL,7,3,0,1000.0,scale,500,0.5681818181818182,0.44642857142857145,0.6944444444444444
GOOGL,7,3,0,100000.0,scale,500,0.5681818181818182,0.48214285714285715,0.54
AAPL,7,7,0,1000.0,scale,500,0.5681818181818182,0.44642857142857145,0.6944444444444444
MSFT,14,14,0,1000.0,scale,500,0.5909090909090909,0.7346938775510204,0.84375
AAPL,3,7,0,10000.0,scale,500,0.5909090909090909,0.45,0.46153846153846156
AAPL,3,14,0,100000.0,scale,500,0.5909090909090909,0.45,0.46153846153846156
MSFT,3,14,1,100000.0,scale,500,0.5909090909090909,0.5666666666666667,0.5
GOOGL,3,3,2,100000.0,scale,500,0.5909090909090909,0.45,0.4807692307692308
GOOGL,3,3,2,10000.0,scale,500,0.5909090909090909,0.45,0.4807692307692308
GOOGL,3,3,2,1000.0,scale,500,0.5909090909090909,0.45,0.4807692307692308
MSFT,3,14,1,10000.0,scale,500,0.5909090909090909,0.5666666666666667,0.5
MSFT,3,14,1,1000.0,scale,500,0.5909090909090909,0.5666666666666667,0.5
MSFT,7,14,0,100000.0,scale,500,0.5909090909090909,0.6071428571428571,0.6111111111111112
AAPL,3,7,0,100000.0,scale,500,0.5909090909090909,0.45,0.46153846153846156
MSFT,7,14,0,10000.0,scale,500,0.5909090909090909,0.6071428571428571,0.5555555555555556
AAPL,3,14,0,10000.0,scale,500,0.5909090909090909,0.45,0.46153846153846156
MSFT,7,3,0,1000.0,scale,500,0.5909090909090909,0.6071428571428571,0.5555555555555556
MSFT,3,14,2,1000.0,scale,20000,0.5909090909090909,0.5666666666666667,0.5
MSFT,3,14,2,100000.0,scale,10000,0.5909090909090909,0.5666666666666667,0.5
MSFT,3,14,2,10000.0,scale,20000,0.5909090909090909,0.5666666666666667,0.5
MSFT,3,14,2,100000.0,scale,20000,0.5909090909090909,0.5666666666666667,0.5
MSFT,14,7,0,1000.0,scale,500,0.5909090909090909,0.7346938775510204,0.84375
AMZN,7,7,0,1000.0,scale,500,0.5909090909090909,0.44642857142857145,0.46296296296296297
AAPL,3,3,0,100000.0,scale,500,0.5909090909090909,0.45,0.46153846153846156
MSFT,7,7,0,10000.0,scale,500,0.5909090909090909,0.6071428571428571,0.5555555555555556
MSFT,3,14,2,10000.0,scale,10000,0.5909090909090909,0.5666666666666667,0.5
AMZN,14,7,0,1000.0,scale,500,0.5909090909090909,0.3673469387755102,0.47368421052631576
MSFT,7,3,0,10000.0,scale,500,0.5909090909090909,0.6071428571428571,0.5555555555555556
AMZN,14,3,0,1000.0,scale,500,0.5909090909090909,0.3673469387755102,0.47368421052631576
AAPL,3,3,0,10000.0,scale,500,0.5909090909090909,0.45,0.46153846153846156
AMZN,7,3,0,1000.0,scale,500,0.5909090909090909,0.44642857142857145,0.46296296296296297
AMZN,14,14,0,1000.0,scale,500,0.5909090909090909,0.3673469387755102,0.47368421052631576
MSFT,7,3,0,100000.0,scale,500,0.5909090909090909,0.6071428571428571,0.6111111111111112
MSFT,7,14,0,1000.0,scale,500,0.5909090909090909,0.6071428571428571,0.5555555555555556
MSFT,3,14,2,1000.0,scale,10000,0.5909090909090909,0.5666666666666667,0.5
MSFT,14,3,0,1000.0,scale,500,0.5909090909090909,0.7346938775510204,0.84375
MSFT,7,7,0,1000.0,scale,500,0.5909090909090909,0.6071428571428571,0.5555555555555556
AMZN,7,14,0,1000.0,scale,500,0.5909090909090909,0.44642857142857145,0.46296296296296297
MSFT,7,7,0,100000.0,scale,500,0.5909090909090909,0.6071428571428571,0.6111111111111112
TSLA,7,3,0,10000.0,scale,500,0.6136363636363636,0.6071428571428571,0.7045454545454546
AAPL,14,3,0,10000.0,scale,500,0.6136363636363636,0.16326530612244897,0.2857142857142857
AAPL,14,14,0,10000.0,scale,500,0.6136363636363636,0.16326530612244897,0.2857142857142857
MSFT,14,14,1,100000.0,scale,500,0.6136363636363636,0.42857142857142855,0.5
GOOGL,3,3,1,100000.0,scale,500,0.6136363636363636,0.48333333333333334,0.46153846153846156
AAPL,3,7,2,100000.0,scale,20000,0.6136363636363636,0.6,0.6730769230769231
GOOGL,3,3,1,10000.0,scale,500,0.6136363636363636,0.48333333333333334,0.46153846153846156
GOOGL,3,3,1,1000.0,scale,500,0.6136363636363636,0.48333333333333334,0.46153846153846156
AMZN,3,3,0,10000.0,scale,500,0.6136363636363636,0.5666666666666667,0.5185185185185185
TSLA,7,7,0,10000.0,scale,500,0.6136363636363636,0.6071428571428571,0.7045454545454546
AAPL,3,14,1,100000.0,scale,500,0.6136363636363636,0.55,0.6153846153846154
TSLA,7,3,2,1000.0,scale,1000,0.6136363636363636,0.4107142857142857,0.4772727272727273
TSLA,7,3,2,10000.0,scale,1000,0.6136363636363636,0.4107142857142857,0.4772727272727273
TSLA,7,3,2,100000.0,scale,1000,0.6136363636363636,0.4107142857142857,0.4772727272727273
AMZN,7,7,2,100000.0,scale,20000,0.6136363636363636,0.5,0.5185185185185185
AMZN,7,7,2,10000.0,scale,20000,0.6136363636363636,0.5,0.5185185185185185
AMZN,7,7,2,1000.0,scale,20000,0.6136363636363636,0.5,0.5185185185185185
AMZN,7,7,2,100000.0,scale,10000,0.6136363636363636,0.5,0.5185185185185185
TSLA,7,14,0,10000.0,scale,500,0.6136363636363636,0.6071428571428571,0.7045454545454546
AMZN,3,3,0,100000.0,scale,500,0.6136363636363636,0.5666666666666667,0.5185185185185185
AAPL,3,7,2,10000.0,scale,20000,0.6136363636363636,0.6,0.6730769230769231
AMZN,7,7,2,1000.0,scale,10000,0.6136363636363636,0.5,0.5185185185185185
AAPL,3,7,2,100000.0,scale,10000,0.6136363636363636,0.6,0.6730769230769231
GOOGL,3,7,2,100000.0,scale,20000,0.6136363636363636,0.65,0.5769230769230769
GOOGL,3,7,2,10000.0,scale,20000,0.6136363636363636,0.65,0.5769230769230769
GOOGL,3,7,2,1000.0,scale,20000,0.6136363636363636,0.65,0.5769230769230769
GOOGL,3,7,2,100000.0,scale,10000,0.6136363636363636,0.65,0.5769230769230769
GOOGL,3,7,2,10000.0,scale,10000,0.6136363636363636,0.65,0.5769230769230769
GOOGL,3,7,2,1000.0,scale,10000,0.6136363636363636,0.65,0.5769230769230769
AAPL,3,14,1,10000.0,scale,500,0.6136363636363636,0.55,0.6153846153846154
AAPL,3,3,2,1000.0,scale,10000,0.6136363636363636,0.48333333333333334,0.5384615384615384
AAPL,3,3,2,10000.0,scale,10000,0.6136363636363636,0.48333333333333334,0.5384615384615384
AMZN,3,14,0,100000.0,scale,500,0.6136363636363636,0.5666666666666667,0.5185185185185185
AAPL,3,14,1,1000.0,scale,500,0.6136363636363636,0.55,0.6153846153846154
AMZN,3,14,0,10000.0,scale,500,0.6136363636363636,0.5666666666666667,0.5185185185185185
AAPL,3,3,2,100000.0,scale,10000,0.6136363636363636,0.48333333333333334,0.5384615384615384
AAPL,3,3,2,1000.0,scale,20000,0.6136363636363636,0.48333333333333334,0.5384615384615384
AAPL,3,7,2,1000.0,scale,20000,0.6136363636363636,0.6,0.6730769230769231
AAPL,3,3,2,10000.0,scale,20000,0.6136363636363636,0.48333333333333334,0.5384615384615384
AAPL,14,7,0,10000.0,scale,500,0.6136363636363636,0.16326530612244897,0.2857142857142857
AAPL,3,7,2,10000.0,scale,10000,0.6136363636363636,0.6,0.6730769230769231
AAPL,3,7,2,1000.0,scale,10000,0.6136363636363636,0.6,0.6730769230769231
AAPL,3,3,2,100000.0,scale,20000,0.6136363636363636,0.48333333333333334,0.5384615384615384
AMZN,3,7,0,10000.0,scale,500,0.6136363636363636,0.5666666666666667,0.5185185185185185
AMZN,7,7,2,10000.0,scale,10000,0.6136363636363636,0.5,0.5185185185185185
MSFT,14,14,1,10000.0,scale,500,0.6136363636363636,0.42857142857142855,0.5
MSFT,14,14,1,1000.0,scale,500,0.6136363636363636,0.42857142857142855,0.5
AMZN,3,7,0,100000.0,scale,500,0.6136363636363636,0.5666666666666667,0.5185185185185185
MSFT,3,14,2,1000.0,scale,500,0.6363636363636364,0.5333333333333333,0.48
MSFT,3,7,2,10000.0,scale,10000,0.6363636363636364,0.55,0.52
MSFT,3,7,0,10000.0,scale,500,0.6363636363636364,0.4166666666666667,0.46
MSFT,3,7,0,1000.0,scale,500,0.6363636363636364,0.43333333333333335,0.46
MSFT,3,7,2,1000.0,scale,20000,0.6363636363636364,0.55,0.52
MSFT,3,7,2,100000.0,scale,10000,0.6363636363636364,0.55,0.52
AAPL,7,14,0,10000.0,scale,500,0.6363636363636364,0.5,0.8055555555555556
MSFT,3,3,0,1000.0,scale,500,0.6363636363636364,0.43333333333333335,0.46
MSFT,3,14,0,10000.0,scale,500,0.6363636363636364,0.4166666666666667,0.46
MSFT,3,7,2,10000.0,scale,20000,0.6363636363636364,0.55,0.52
MSFT,3,14,2,10000.0,scale,500,0.6363636363636364,0.5333333333333333,0.48
AAPL,7,3,2,10000.0,scale,1000,0.6363636363636364,0.35714285714285715,0.5277777777777778
AAPL,7,3,2,1000.0,scale,1000,0.6363636363636364,0.35714285714285715,0.5277777777777778
GOOGL,3,14,1,1000.0,scale,500,0.6363636363636364,0.36666666666666664,0.4230769230769231
GOOGL,3,14,1,10000.0,scale,500,0.6363636363636364,0.4666666666666667,0.5384615384615384
GOOGL,3,14,1,100000.0,scale,500,0.6363636363636364,0.4666666666666667,0.5384615384615384
TSLA,7,3,0,100000.0,scale,500,0.6363636363636364,0.5535714285714286,0.6136363636363636
TSLA,7,3,0,1000.0,scale,500,0.6363636363636364,0.5714285714285714,0.6363636363636364
GOOGL,3,14,2,10000.0,scale,1000,0.6363636363636364,0.55,0.5
GOOGL,3,14,2,1000.0,scale,1000,0.6363636363636364,0.55,0.5
GOOGL,7,3,2,10000.0,scale,500,0.6363636363636364,0.5892857142857143,0.66
GOOGL,7,3,2,100000.0,scale,500,0.6363636363636364,0.5892857142857143,0.66
AAPL,7,3,2,100000.0,scale,500,0.6363636363636364,0.3392857142857143,0.5277777777777778
AAPL,7,3,2,10000.0,scale,500,0.6363636363636364,0.3392857142857143,0.5277777777777778
AAPL,7,3,2,1000.0,scale,500,0.6363636363636364,0.3392857142857143,0.5277777777777778
MSFT,3,14,0,1000.0,scale,500,0.6363636363636364,0.43333333333333335,0.46
AAPL,7,3,2,100000.0,scale,1000,0.6363636363636364,0.35714285714285715,0.5277777777777778
AAPL,7,3,2,1000.0,scale,10000,0.6363636363636364,0.35714285714285715,0.5277777777777778
AAPL,7,3,2,10000.0,scale,10000,0.6363636363636364,0.35714285714285715,0.5277777777777778
AAPL,7,3,2,100000.0,scale,10000,0.6363636363636364,0.35714285714285715,0.5277777777777778
MSFT,3,14,2,100000.0,scale,500,0.6363636363636364,0.5333333333333333,0.48
GOOGL,3,14,2,100000.0,scale,20000,0.6363636363636364,0.5,0.5192307692307693
TSLA,7,14,0,1000.0,scale,500,0.6363636363636364,0.5714285714285714,0.6363636363636364
GOOGL,3,14,2,10000.0,scale,20000,0.6363636363636364,0.5,0.5192307692307693
GOOGL,3,14,2,1000.0,scale,20000,0.6363636363636364,0.5,0.5192307692307693
GOOGL,3,14,2,100000.0,scale,10000,0.6363636363636364,0.5,0.5192307692307693
GOOGL,3,14,2,10000.0,scale,10000,0.6363636363636364,0.5,0.5192307692307693
TSLA,7,14,0,100000.0,scale,500,0.6363636363636364,0.5535714285714286,0.6136363636363636
TSLA,7,7,0,100000.0,scale,500,0.6363636363636364,0.5535714285714286,0.6136363636363636
AAPL,3,3,1,100000.0,scale,500,0.6363636363636364,0.43333333333333335,0.5
TSLA,7,7,0,1000.0,scale,500,0.6363636363636364,0.5714285714285714,0.6363636363636364
MSFT,3,7,2,100000.0,scale,20000,0.6363636363636364,0.55,0.52
GOOGL,3,14,2,100000.0,scale,1000,0.6363636363636364,0.55,0.5
AAPL,7,3,2,100000.0,scale,20000,0.6363636363636364,0.35714285714285715,0.5277777777777778
AAPL,7,3,2,10000.0,scale,20000,0.6363636363636364,0.35714285714285715,0.5277777777777778
