symbol,output_size,window_size,data_mode,drop_out,max_string_lenght:,train_score,val_score,test_score,balance_score
AMZN,3,3,0,0.0,500,0.5510204081632653,0.2558139534883721,0.46551724137931033,0.5
AMZN,3,3,2,0.2,20000,0.5204081632653061,0.3023255813953488,0.3793103448275862,0.4807692307692308
AMZN,3,3,2,0.8,1000,0.5306122448979592,0.3023255813953488,0.4482758620689655,0.4807692307692308
AMZN,3,3,1,0.5,500,0.5612244897959183,0.3023255813953488,0.43103448275862066,0.5
AAPL,3,7,2,0.8,1000,0.45263157894736844,0.30952380952380953,0.5185185185185185,0.41304347826086957
AMZN,3,14,0,0.8,500,0.5333333333333333,0.325,0.5106382978723404,0.5869565217391305
AMZN,3,3,1,0.8,500,0.5306122448979592,0.32558139534883723,0.4827586206896552,0.5
TSLA,3,3,2,0.0,10000,0.5408163265306123,0.32558139534883723,0.4827586206896552,0.5185185185185185
TSLA,3,3,2,0.8,10000,0.5306122448979592,0.32558139534883723,0.39655172413793105,0.46296296296296297
AMZN,3,3,2,0.2,10000,0.5612244897959183,0.32558139534883723,0.43103448275862066,0.4230769230769231
AMZN,3,3,0,0.8,500,0.5408163265306123,0.32558139534883723,0.4482758620689655,0.46153846153846156
AMZN,3,3,2,0.2,500,0.46938775510204084,0.32558139534883723,0.39655172413793105,0.5384615384615384
TSLA,3,3,2,0.5,20000,0.4897959183673469,0.32558139534883723,0.43103448275862066,0.5
TSLA,3,3,2,0.2,20000,0.5102040816326531,0.32558139534883723,0.4482758620689655,0.5185185185185185
AMZN,3,3,2,0.0,1000,0.5306122448979592,0.32558139534883723,0.43103448275862066,0.4807692307692308
AMZN,3,3,1,0.2,500,0.5204081632653061,0.3488372093023256,0.4827586206896552,0.5576923076923077
AMZN,3,3,0,0.2,500,0.5,0.3488372093023256,0.4482758620689655,0.5192307692307693
TSLA,3,3,2,0.2,500,0.5408163265306123,0.3488372093023256,0.5172413793103449,0.5
MSFT,3,3,0,0.2,500,0.5,0.3488372093023256,0.5862068965517241,0.56
AMZN,3,3,2,0.2,1000,0.5102040816326531,0.3488372093023256,0.46551724137931033,0.5
AMZN,3,3,2,0.0,10000,0.47959183673469385,0.3488372093023256,0.46551724137931033,0.5192307692307693
MSFT,3,3,2,0.8,20000,0.5612244897959183,0.3488372093023256,0.4482758620689655,0.54
MSFT,3,14,2,0.8,1000,0.4666666666666667,0.35,0.5106382978723404,0.575
AMZN,3,7,2,0.2,20000,0.5684210526315789,0.35714285714285715,0.5555555555555556,0.5192307692307693
MSFT,3,7,2,0.0,20000,0.47368421052631576,0.35714285714285715,0.48148148148148145,0.5
AAPL,7,3,2,0.5,10000,0.5157894736842106,0.35714285714285715,0.35185185185185186,0.4722222222222222
AAPL,3,7,2,0.0,500,0.5578947368421052,0.35714285714285715,0.4444444444444444,0.4782608695652174
AAPL,3,7,2,0.2,20000,0.5578947368421052,0.35714285714285715,0.5,0.5652173913043478
AMZN,3,3,1,0.0,500,0.4489795918367347,0.37209302325581395,0.5172413793103449,0.5769230769230769
AMZN,3,3,2,0.8,500,0.5204081632653061,0.37209302325581395,0.43103448275862066,0.4807692307692308
AMZN,3,3,2,0.8,10000,0.5306122448979592,0.37209302325581395,0.4482758620689655,0.5
TSLA,3,3,2,0.0,1000,0.46938775510204084,0.37209302325581395,0.46551724137931033,0.4444444444444444
MSFT,3,3,2,0.5,10000,0.5510204081632653,0.37209302325581395,0.6896551724137931,0.46
AMZN,3,3,2,0.0,20000,0.5102040816326531,0.37209302325581395,0.43103448275862066,0.5384615384615384
AMZN,3,3,2,0.5,500,0.5204081632653061,0.37209302325581395,0.4827586206896552,0.5192307692307693
MSFT,3,3,0,0.5,500,0.5612244897959183,0.37209302325581395,0.5862068965517241,0.5
TSLA,3,3,2,0.8,500,0.47959183673469385,0.37209302325581395,0.39655172413793105,0.5555555555555556
AAPL,3,3,1,0.5,500,0.5408163265306123,0.37209302325581395,0.5344827586206896,0.5384615384615384
TSLA,3,3,0,0.5,500,0.5,0.37209302325581395,0.43103448275862066,0.42592592592592593
AMZN,3,3,2,0.5,20000,0.5714285714285714,0.37209302325581395,0.43103448275862066,0.5
TSLA,3,3,1,0.8,500,0.5,0.37209302325581395,0.4827586206896552,0.5
AMZN,3,3,2,0.5,10000,0.5306122448979592,0.37209302325581395,0.4827586206896552,0.4807692307692308
TSLA,3,3,2,0.5,10000,0.5714285714285714,0.37209302325581395,0.41379310344827586,0.5370370370370371
AMZN,3,14,2,0.2,10000,0.45555555555555555,0.375,0.5319148936170213,0.45652173913043476
AMZN,3,14,0,0.5,500,0.4777777777777778,0.375,0.48936170212765956,0.5
AAPL,7,7,2,0.0,20000,0.5268817204301075,0.375,0.38,0.46875
MSFT,3,14,2,0.2,20000,0.4666666666666667,0.375,0.5106382978723404,0.525
AAPL,7,3,1,0.5,500,0.5157894736842106,0.38095238095238093,0.35185185185185186,0.5
AAPL,3,7,2,0.2,10000,0.5473684210526316,0.38095238095238093,0.48148148148148145,0.5217391304347826
MSFT,3,7,2,0.8,20000,0.4842105263157895,0.38095238095238093,0.4444444444444444,0.3958333333333333
AAPL,3,7,1,0.5,500,0.5157894736842106,0.38095238095238093,0.46296296296296297,0.4782608695652174
AAPL,7,3,0,0.5,500,0.5473684210526316,0.38095238095238093,0.35185185185185186,0.5
AAPL,3,7,2,0.0,1000,0.49473684210526314,0.38095238095238093,0.4074074074074074,0.5434782608695652
AMZN,3,7,2,0.8,10000,0.49473684210526314,0.38095238095238093,0.6111111111111112,0.5769230769230769
